day month sunrise sunrise_angle sunset sunset_angle astr_start astr_end naut_start naut_end civ_start civ_end noon noon_angle sun_distance
01 01 08h30 121 17h37 239 06h48 19h18 07h22 18h44 07h58 18h09 13h03 24.4 147.107
02 01 08h30 121 17h37 239 06h48 19h19 07h22 18h45 07h58 18h09 13h04 24.5 147.105
03 01 08h30 121 17h38 239 06h48 19h20 07h22 18h46 07h58 18h10 13h04 24.6 147.104
04 01 08h30 121 17h39 239 06h48 19h21 07h22 18h47 07h58 18h11 13h04 24.7 147.104
05 01 08h30 121 17h40 239 06h48 19h22 07h22 18h47 07h58 18h12 13h05 24.8 147.104
06 01 08h30 120 17h41 240 06h48 19h23 07h22 18h48 07h58 18h13 13h05 24.9 147.105
07 01 08h29 120 17h42 240 06h48 19h23 07h22 18h49 07h58 18h14 13h06 25.1 147.107
08 01 08h29 120 17h43 240 06h48 19h24 07h22 18h50 07h58 18h15 13h06 25.2 147.109
09 01 08h29 120 17h44 240 06h48 19h25 07h22 18h51 07h57 18h16 13h07 25.3 147.113
10 01 08h29 120 17h46 240 06h48 19h26 07h22 18h52 07h57 18h17 13h07 25.5 147.117
11 01 08h28 119 17h47 241 06h48 19h27 07h22 18h53 07h57 18h18 13h07 25.6 147.122
12 01 08h28 119 17h48 241 06h48 19h28 07h22 18h54 07h57 18h19 13h08 25.8 147.128
13 01 08h28 119 17h49 241 06h47 19h29 07h21 18h55 07h56 18h20 13h08 26.0 147.135
14 01 08h27 119 17h50 241 06h47 19h30 07h21 18h56 07h56 18h21 13h08 26.1 147.143
15 01 08h27 118 17h51 242 06h47 19h31 07h21 18h57 07h56 18h22 13h09 26.3 147.152
16 01 08h26 118 17h52 242 06h47 19h32 07h20 18h58 07h55 18h24 13h09 26.5 147.162
17 01 08h26 118 17h54 242 06h46 19h33 07h20 18h59 07h55 18h25 13h10 26.7 147.173
18 01 08h25 118 17h55 243 06h46 19h34 07h20 19h01 07h54 18h26 13h10 26.9 147.185
19 01 08h25 117 17h56 243 06h45 19h35 07h19 19h02 07h54 18h27 13h10 27.1 147.197
20 01 08h24 117 17h57 243 06h45 19h36 07h19 19h03 07h53 18h28 13h10 27.4 147.210
21 01 08h23 117 17h59 244 06h44 19h37 07h18 19h04 07h52 18h29 13h11 27.6 147.225
22 01 08h22 116 18h00 244 06h44 19h39 07h17 19h05 07h52 18h31 13h11 27.8 147.240
23 01 08h22 116 18h01 244 06h43 19h40 07h17 19h06 07h51 18h32 13h11 28.0 147.255
24 01 08h21 116 18h02 245 06h43 19h41 07h16 19h07 07h50 18h33 13h11 28.3 147.271
25 01 08h20 115 18h04 245 06h42 19h42 07h15 19h08 07h50 18h34 13h12 28.5 147.288
26 01 08h19 115 18h05 245 06h41 19h43 07h15 19h10 07h49 18h35 13h12 28.8 147.306
27 01 08h18 115 18h06 246 06h41 19h44 07h14 19h11 07h48 18h37 13h12 29.0 147.324
